,City,Cloudiness,Country,Date,Humidity,Lat,Longitude,Max Temp,Wind Speed (mph)
87,lata,100,IN,1572662972,38,30.78,78.62,36.09,3.09
88,busselton,20,AU,1572662972,41,-33.64,115.35,69.01,13.65
89,sitka,0,US,1572662965,65,37.17,-99.65,36.0,8.99
90,hilo,75,US,1572662824,66,19.71,-155.08,84.2,12.75
91,okhotsk,100,RU,1572662973,88,59.36,143.24,33.46,17.38
92,mar del plata,13,AR,1572662973,29,-46.43,-67.52,57.79,11.23
93,misratah,81,LY,1572662974,57,32.38,15.09,72.55,10.87
94,airai,15,TL,1572662974,41,-8.93,125.41,84.69,7.87
95,thompson,90,CA,1572662827,92,55.74,-97.86,23.0,3.36
96,senigallia,100,IT,1572662974,93,43.71,13.22,55.4,2.24
97,natal,20,BR,1572662762,78,-5.81,-35.21,77.0,12.75
98,sechura,71,PE,1572662940,90,-5.56,-80.82,63.59,8.43
99,sangar,96,RU,1572662975,93,63.92,127.47,-0.17,2.64
100,dingle,100,PH,1572662975,72,11.0,122.67,85.01,3.0
101,kholm,75,AF,1572662976,100,36.69,67.7,55.4,1.12
102,ust-ishim,100,RU,1572662976,88,57.69,71.17,18.36,10.18
103,katsuura,20,JP,1572662976,48,33.93,134.5,64.4,12.75
104,bluff,19,AU,1572662976,32,-23.58,149.07,87.91,14.05
105,tautira,75,PF,1572662977,74,-17.73,-149.15,82.4,12.75
106,tuktoyaktuk,90,CA,1572662743,85,69.44,-133.03,17.6,6.93
107,castro,20,CL,1572662977,93,-42.48,-73.76,39.2,4.7
108,grindavik,100,IS,1572662977,66,63.84,-22.43,39.2,6.93
109,ponta do sol,99,BR,1572662688,90,-20.63,-46.0,67.12,2.84
110,khatanga,0,RU,1572662978,92,71.98,102.47,-9.33,7.16
111,diedorf,100,DE,1572662978,93,48.35,10.78,52.0,8.05
112,hambantota,75,LK,1572662941,100,6.12,81.12,75.2,3.36
113,baherden,35,TM,1572662979,74,38.44,57.43,54.19,11.1
114,nome,1,US,1572662846,81,30.04,-94.42,53.01,2.1
115,leua,94,AO,1572662979,66,-11.65,20.45,66.7,4.27
116,keelung,75,TW,1572662791,69,25.13,121.74,78.8,16.11
117,atambua,21,ID,1572662946,59,-9.11,124.89,83.97,7.74
118,zhigansk,100,RU,1572662980,93,66.77,123.37,5.07,15.73
119,yanam,47,IN,1572662980,83,16.73,82.22,82.4,6.93
120,alofi,80,NU,1572662980,65,-19.06,-169.92,77.0,10.29
121,tahoua,31,NE,1572662980,13,14.89,5.26,79.45,7.56
122,bredasdorp,1,ZA,1572662860,66,-34.53,20.04,50.0,8.05
123,cayenne,0,GF,1572662981,94,4.94,-52.33,75.2,4.16
124,hermanus,29,ZA,1572662687,90,-34.42,19.24,53.01,7.0
125,abu samrah,0,SY,1572662872,82,35.3,37.18,61.11,9.8
126,kavieng,98,PG,1572662689,69,-2.57,150.8,85.86,6.93
127,de aar,0,ZA,1572662982,35,-30.65,24.01,56.3,6.91
128,ixtapa,75,MX,1572662982,83,20.71,-105.21,82.99,3.36
129,sistranda,75,NO,1572662983,86,63.73,8.83,42.01,12.75
